年月日,2330 台積電,2317 鴻海,1303 南亞,1301 台塑,1326 台化,2308 台達電,1216 統一,2002 中鋼,2311 日月光,2105 正新
2009/7/31,14.2429,11.3303,4.0794,6.3967,8.8326,21.794,0.7396,22.3196,27.7176,23.6326
2009/8/31,0.5092,-1.7698,8.5208,4.9647,12.4756,3.5295,5.9369,-5.6785,-0.6341,10.8271
2009/9/30,8.9524,16.2164,14.7219,10.6419,7.1056,3.9772,11.1437,-0.0001,12.5533,8.2801
2009/10/30,-6.9769,0.775,-0.3805,-3.5113,-0.4854,0.3278,-2.9021,-2.0066,-1.134,0.1472
2009/11/30,1.8334,4.6153,4.0075,1.1076,7.9672,-1.5252,2.446,3.5836,-2.2942,6.7548
2009/12/31,5.5646,11.3969,6.9726,5.321,4.518,10.6192,4.6419,8.7312,12.9158,1.1003
2010/1/29,-4.651,-11.221,2.9159,-1.0402,-0.1439,-3,-13.3081,-1.5152,-11.9584,-16.3264
2010/2/26,-4.3903,-5.5762,5.8332,3.904,4.6177,-3.6083,4.0937,-0.9231,0.3938,0.813
2010/3/31,4.5917,8.2675,2.0474,1.1562,2.4829,7.4866,1.5449,2.0185,13.7253,9.0324
2010/4/30,0.4877,7.9999,2.1603,-0.0001,6.9985,3.9801,-3.0429,1.9786,7.2416,0.1478
2010/5/31,-2.5888,-16.1617,-20.0906,-7.7142,-9.5595,-3.8276,-5.278,-8.806,-13.1832,-1.1817
2010/6/30,0.6646,-8.4338,-2.2685,5.263,3.0599,2.9849,7.229,-2.4551,-5,-2.0929
2010/7/30,8.1269,13.1579,12.894,4.0771,-0.0756,10.7482,6.8819,8.6072,9.2234,25.0382
2010/8/31,-5.609,-0.4257,9.5745,6.1287,2.1522,9.9546,9.3346,-0.1648,-12.3261,1.6365
2010/9/30,5.2632,3.9824,10.6795,8.0282,6.0395,7.4073,9.4469,6.6005,14.5127,5.6834
2010/10/29,1.2905,-1.2767,-0.2924,14.472,16.2918,-3.0652,-1.8499,-3.8699,4.5546,-0.8718
2010/11/30,0.9552,-6.4657,-0.44,3.3029,2.8473,7.1144,5.9046,0.9662,19.3182,-4.5454
2010/12/31,11.9873,8.2948,7.069,7.4972,8.7485,5.1658,2.6098,6.8581,7.1429,-0.1536
2011/1/28,7.4648,6.3831,10.7288,1.846,7.9427,-5.614,-7.7455,0.8956,8.4445,-1.077
2011/2/25,-7.6016,-12.8,6.4596,0.2013,-4.717,-8.1784,-5.3884,-0.8876,-9.0165,-7.1541
2011/3/31,0.1419,-5.5044,1.1666,4.0203,10.3959,-5.668,6.755,4.9254,-4.2044,14.2377
2011/4/29,3.6827,5.3396,1.2686,13.0437,3.5878,9.8713,2.2333,0.7112,4.3887,6.0116
2011/5/31,4.7815,-7.3732,-9.2254,-5.9831,-5.1948,-10.9375,0.1215,-3.1072,6.3063,12.0332
2011/6/30,-1.9128,-1.9902,-3.8898,-5.909,-2.2831,-7.456,0.8484,0.8746,-11.0168,1.8518
2011/7/29,-0.2772,-7.0762,10.4144,11.7182,4.88,1.5828,13.7017,-3.2461,-0.3177,4.8483
2011/8/31,-3.6111,-10.9356,-13.3,-16.9586,-15.6938,-16.6666,-1.0876,4.6511,-5.6152,-4.3439
2011/9/30,0.8647,-5.5935,-4.0521,-9.3228,-9.648,-14.7058,-6.6666,-5.0794,1.9229,-4.7548
2011/10/31,5.143,20.3759,2.4134,8.9353,9.9245,-1.6555,4.7616,0.0002,1.6983,7.8002
2011/11/30,1.3587,-4.3217,-18.7039,-10.7867,-11.5428,-8.8362,-1.4355,-2.6756,-1.67,-5.9332
2011/12/30,1.6085,4.0152,8.8766,1.7631,3.2298,10.7692,7.4029,-1.031,-2.264,0.7693
2012/1/31,3.5622,14.9577,3.9933,6.683,6.3829,6.25,-1.2428,1.7361,20.0772,7.1756
2012/2/29,3.3122,7.5549,15.5201,6.7284,8.2353,5.6208,3.0893,4.0958,-7.3951,3.2763
2012/3/30,4.6857,11.7073,-7.6178,-5.5435,-6.3043,7.0544,-9.323,-1.1475,3.1249,-2.2068
2012/4/30,2.2381,-19.3013,-9.7452,-4.4882,-1.7402,0.3469,11.2607,-3.6483,-0.5047,2.5391
2012/5/31,-1.9585,-5.3031,-12.9568,-5.9034,-6.7297,-4.1475,-1.2101,-3.6146,-4.3993,-0.9626
2012/6/29,-4.4654,2.1714,1.9085,2.1769,-0.7594,9.255,6.0132,0.0003,-13.4511,4.1665
2012/7/31,3.3109,-5.369,13.8911,9.399,6.5918,15.8933,5.8824,0.3686,-4.499,6.3998
2012/8/31,2.8394,12.0414,-3.7606,-2.7708,-2.6447,0.4927,3.6604,-3.7524,12.097,5.7375
2012/9/28,7.8028,8.4906,4.4405,3.8414,1.9403,11.2743,8.4462,4.2885,0.8931,5.7691
2012/10/31,-1.225,-3.587,-12.415,-5.0121,-12.1828,-12.0704,-0.769,-6.1682,-2.6549,-5.0649
2012/11/30,11.2739,5.0736,-0.1945,-3.8947,-0.5781,4.2087,0.5814,5.9759,10.6818,1.3679
2012/12/28,-1.7225,-4.6137,8.9494,2.7453,9.0118,2.4039,2.6975,2.8195,3.4904,1.7544
2013/1/31,4.6391,-5.0619,7.1429,2.0357,6.9335,0.4694,-2.8142,1.8281,-5.1587,2.1219
2013/2/27,2.9555,-3.199,-5.1667,-6.4839,-5.7356,3.2709,7.1429,-2.3339,2.9288,4.6754
2013/3/29,-3.8276,1.9585,-5.7996,-4.1332,-8.9947,15.3846,1.982,-4.2278,-0.4065,9.181
2013/4/30,8.9554,-8.5234,9.7015,-0.4172,0.436,10.9805,2.6502,-0.1919,3.8778,13.5228
2013/5/31,0.0002,0.6562,4.0815,-2.9331,2.1707,1.7669,1.8933,-2.1153,1.3752,-10.2102
2013/6/28,1.3697,-3.5201,3.2679,4.3167,4.1077,-5.2082,-1.3514,-3.5364,-2.5196,5.4626
2013/7/31,-5.0688,5.1351,-0.3164,9.8242,5.4028,10.51,4.7945,3.6353,2.0286,5.0739
2013/8/30,-1.9513,4.3702,-5.5949,-1.0611,4.1555,-6.873,-3.4058,2.0162,7.5204,-9.5676
2013/9/30,-0.0002,4.6412,6.1433,2.2788,1.1582,5.904,1.1009,2.5694,7.7504,0.5193
2013/10/31,8.955,-1.8448,7.7171,4.587,8.0154,6.2715,1.6331,-1.5413,1.2281,1.2918
